fname,lname,POS,BAT,THW,Age,HT,WT,Team,city,state,League
Zach,Pop,RP,R,R,27,76,220,Toronto Blue Jays,Brampton,Canada,MLB
Trevor,Richards,RP,R,R,30,74,205,Toronto Blue Jays,Aviston,IL,MLB
Jordan,Romano,RP,R,R,30,77,210,Toronto Blue Jays,Markham,Canada,MLB
Erik,Swanson,RP,R,R,30,75,225,Toronto Blue Jays,Fargo,ND,MLB
Mitch,White,RP,R,R,29,75,210,Toronto Blue Jays,San Jose,CA,MLB
Yosver,Zulueta,SP,R,R,26,73,190,Toronto Blue Jays,Remedios,Cuba,MLB
Danny,Jansen,C,R,R,28,74,215,Toronto Blue Jays,Elmhurst,IL,MLB
Alejandro,Kirk,C,R,R,25,68,245,Toronto Blue Jays,Tijuana,Mexico,MLB
Brian,Serven,C,R,R,28,72,207,Toronto Blue Jays,Palm Desert,CA,MLB
Addison,Barger,3B,L,R,24,72,210,Toronto Blue Jays,Bellevue,WA,MLB
Bo,Bichette,SS,R,R,25,72,190,Toronto Blue Jays,Orlando,FL,MLB
Cavan,Biggio,2B,L,R,28,74,200,Toronto Blue Jays,Houston,TX,MLB
Ernie,Clement,2B,R,R,27,72,170,Toronto Blue Jays,Rochester,NY,MLB
Santiago,Espinal,2B,R,R,29,70,185,Toronto Blue Jays,Santiago,Dominican Republic,MLB
Vladimir,Guerrero,1B,R,R,24,74,245,Toronto Blue Jays,Montreal,Canada,MLB
Spencer,Horwitz,1B,L,R,26,70,190,Toronto Blue Jays,Timonium,MD,MLB
Leo,Jimenez,SS,R,R,22,70,215,Toronto Blue Jays,Chitre,Panama,MLB
Otto,Lopez,SS,R,R,25,70,185,Toronto Blue Jays,Santo Domingo,Dominican Republic,MLB
Orelvis,Martinez,SS,R,R,22,71,200,Toronto Blue Jays,Santo Domingo,Dominican Republic,MLB
Davis,Schneider,2B,R,R,24,69,190,Toronto Blue Jays,Berlin,NJ,MLB
Cam,Eden,CF,R,R,25,73,205,Toronto Blue Jays,Yuba City,CA,MLB
Kevin,Kiermaier,CF,L,R,33,73,210,Toronto Blue Jays,Fort Wayne,IN,MLB
Isiah,Kiner-Falefa,OF,R,R,28,71,190,Toronto Blue Jays,Honolulu,HI,MLB
Nathan,Lukes,RF,L,R,29,71,180,Toronto Blue Jays,Sacramento,CA,MLB
George,Springer,RF,R,R,34,75,220,Toronto Blue Jays,New Britain,CT,MLB
Daulton,Varsho,LF,L,R,27,70,207,Toronto Blue Jays,Marshfield,WI,MLB
Ian,Anderson,SP,R,R,25,75,170,Atlanta Braves,Rexford,NY,MLB
Aaron,Bummer,RP,L,L,30,75,215,Atlanta Braves,Valencia,CA,MLB
Dylan,Dodd,SP,L,L,25,74,210,Atlanta Braves,Danville,IL,MLB
Bryce,Elder,SP,R,R,24,74,220,Atlanta Braves,Decatur,TX,MLB
Max,Fried,SP,L,L,30,76,190,Atlanta Braves,Santa Monica,CA,MLB
Daysbel,Hernandez,RP,R,R,27,70,220,Atlanta Braves,Oriente,Cuba,MLB
Raisel,Iglesias,RP,R,R,34,74,190,Atlanta Braves,Isla de la Juventud,Cuba,MLB
Joe,Jimenez,RP,R,R,29,75,277,Atlanta Braves,San Juan,Puerto Rico,MLB
Pierce,Johnson,RP,R,R,32,74,202,Atlanta Braves,Denver,CO,MLB
Ray,Kerr,RP,L,L,29,75,185,Atlanta Braves,Sacramento,CA,MLB
Dylan,Lee,RP,L,L,29,75,214,Atlanta Braves,Dinuba,CA,MLB
Reynaldo,Lopez,RP,R,R,30,73,225,Atlanta Braves,San Pedro de Macoris,Dominican Republic,MLB
Tyler,Matzek,RP,L,L,33,75,230,Atlanta Braves,Mission Viejo,CA,MLB
A.J.,Minter,RP,L,L,30,72,215,Atlanta Braves,Tyler,TX,MLB
Charlie,Morton,SP,R,R,40,77,215,Atlanta Braves,Flemington,NJ,MLB
Penn,Murfee,RP,R,R,29,74,195,Atlanta Braves,Nashville,TN,MLB
Angel,Perdomo,RP,L,L,29,80,265,Atlanta Braves,San Cristobal,Dominican Republic,MLB
Chris,Sale,SP,L,L,34,78,180,Atlanta Braves,Lakeland,FL,MLB
AJ,Smith-Shawver,SP,R,R,21,75,205,Atlanta Braves,Fort Worth,TX,MLB
Jackson,Stephens,RP,R,R,29,74,220,Atlanta Braves,Oxford,AL,MLB
Spencer,Strider,SP,R,R,25,72,195,Atlanta Braves,Columbus,OH,MLB
Darius,Vines,SP,R,R,25,73,190,Atlanta Braves,Oxnard,CA,MLB
Allan,Winans,SP,R,R,28,74,165,Atlanta Braves,Bakersfield,CA,MLB
Huascar,Ynoa,SP,R,R,25,74,220,Atlanta Braves,Puerto Plata,Dominican Republic,MLB
Travis,d'Arnaud,C,R,R,34,74,210,Atlanta Braves,Long Beach,CA,MLB
Sean,Murphy,C,R,R,29,75,228,Atlanta Braves,Peekskill,NY,MLB
Ozzie,Albies,2B,B,R,27,68,165,Atlanta Braves,Willemstad,Curacao,MLB
Orlando,Arcia,SS,R,R,29,72,187,Atlanta Braves,Anaco,Venezuela,MLB
David,Fletcher,SS,R,R,29,69,185,Atlanta Braves,Orange,CA,MLB
Luis,Guillorme,2B,L,R,29,70,190,Atlanta Braves,Caracas,Venezuela,MLB
Matt,Olson,1B,L,R,29,77,225,Atlanta Braves,Atlanta,GA,MLB
Austin,Riley,3B,R,R,26,75,240,Atlanta Braves,Memphis,TN,MLB
Ronald,Acuna,RF,R,R,26,72,205,Atlanta Braves,La Guaira,Venezuela,MLB
Michael,Harris,CF,L,L,22,72,195,Atlanta Braves,DeKalb,GA,MLB
Jarred,Kelenic,LF,L,L,24,73,206,Atlanta Braves,Waukesha,WI,MLB
J.P.,Martinez,LF,L,L,27,68,174,Atlanta Braves,Guantanamo Bay,Cuba,MLB
Forrest,Wall,LF,L,R,28,72,195,Atlanta Braves,Winter Park,FL,MLB
Marcell,Ozuna,DH,R,R,33,73,225,Atlanta Braves,Santo Domingo,Dominican Republic,MLB
Sandy,Alcantara,SP,R,R,28,77,200,Miami Marlins,Azua Province,Dominican Republic,MLB
Anthony,Bender,RP,R,R,28,76,205,Miami Marlins,Petaluma,CA,MLB
Huascar,Brazoban,RP,R,R,34,75,155,Miami Marlins,Villa Mella,Dominican Republic,MLB
Edward,Cabrera,SP,R,R,25,77,217,Miami Marlins,Santiago,Dominican Republic,MLB
JT,Chargois,RP,B,R,33,75,200,Miami Marlins,Sulphur,LA,MLB
Calvin,Faucher,RP,R,R,28,73,190,Miami Marlins,Chula Vista,CA,MLB
Braxton,Garrett,SP,R,L,26,74,202,Miami Marlins,Foley,AL,MLB
Bryan,Hoeing,RP,R,R,27,78,210,Miami Marlins,Batesville,IN,MLB
Jeff,Lindgren,SP,R,R,27,73,200,Miami Marlins,Champaign,IL,MLB
Jesus,Luzardo,SP,L,L,26,72,218,Miami Marlins,Lima,Peru,MLB
Anthony,Maldonado,RP,R,R,25,76,220,Miami Marlins,Wellington,FL,MLB
Max,Meyer,SP,L,R,24,72,196,Miami Marlins,Woodbury,MN,MLB
Roddery,Munoz,RP,R,R,23,74,210,Miami Marlins,Santo Domingo,Dominican Republic,MLB
Andrew,Nardi,RP,L,L,25,75,215,Miami Marlins,West Hills,CA,MLB
Steven,Okert,RP,L,L,32,74,202,Miami Marlins,Riverside,CA,MLB
Kaleb,Ort,RP,R,R,31,76,248,Miami Marlins,Grand Rapids,MI,MLB
Eury,Perez,SP,R,R,20,80,220,Miami Marlins,Santiago,Dominican Republic,MLB
A.J.,Puk,RP,L,L,28,79,248,Miami Marlins,Minneapolis,MN,MLB
Trevor,Rogers,SP,L,L,26,77,217,Miami Marlins,Carlsbad,NM,MLB
Sixto,Sanchez,SP,R,R,25,72,234,Miami Marlins,San Cristobal,Dominican Republic,MLB
Tanner,Scott,RP,R,L,29,72,235,Miami Marlins,Warren,OH,MLB
Josh,Simpson,RP,L,L,26,74,190,Miami Marlins,Stafford,CT,MLB
George,Soriano,RP,R,R,24,74,210,Miami Marlins,San Pedro de Macoris,Dominican Republic,MLB
